,date,datatype,station,attributes,value
0,2021-10-01T00:00:00,AWND,GHCND:USW00014739,",,W,",9.2
1,2021-10-01T00:00:00,PRCP,GHCND:USW00014739,",,W,2400",0.0
2,2021-10-01T00:00:00,SNOW,GHCND:USW00014739,",,W,",0.0
3,2021-10-01T00:00:00,TAVG,GHCND:USW00014739,"H,,S,",59.0
4,2021-10-01T00:00:00,TMAX,GHCND:USW00014739,",,W,2400",69.0
5,2021-10-01T00:00:00,TMIN,GHCND:USW00014739,",,W,2400",51.0
6,2021-10-01T00:00:00,WDF2,GHCND:USW00014739,",,W,",320.0
7,2021-10-01T00:00:00,WDF5,GHCND:USW00014739,",,W,",330.0
8,2021-10-01T00:00:00,WSF2,GHCND:USW00014739,",,W,",16.1
9,2021-10-01T00:00:00,WSF5,GHCND:USW00014739,",,W,",21.9
