,date,datatype,station,attributes,value
75,2018-02-22T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
76,2018-02-22T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
77,2018-02-22T00:00:00,SNWD,GHCND:US1MASF0001,",,N,",0.0
78,2018-02-23T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.08
79,2018-02-26T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",3.0
80,2018-02-26T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",0.63
81,2018-02-27T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
82,2018-02-27T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
83,2018-02-28T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
84,2018-02-28T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
85,2018-02-28T00:00:00,SNWD,GHCND:US1MASF0001,",,N,",0.0
86,2018-03-01T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
87,2018-03-01T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
88,2018-03-02T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.25
89,2018-03-05T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",3.0
90,2018-03-05T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",1.56
91,2018-03-06T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
92,2018-03-06T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
93,2018-03-07T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
94,2018-03-07T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
95,2018-03-09T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",2.0
96,2018-03-09T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",1.35
97,2018-03-09T00:00:00,SNWD,GHCND:US1MASF0001,",,N,",3.0
98,2018-03-12T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",3.0
99,2018-03-12T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",0.0
100,2018-03-12T00:00:00,SNWD,GHCND:US1MASF0001,",,N,",0.0
101,2018-03-14T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",2.0
102,2018-03-14T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",0.99
103,2018-03-14T00:00:00,SNWD,GHCND:US1MASF0001,",,N,",13.0
104,2018-03-15T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.03
105,2018-03-15T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
106,2018-03-16T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
107,2018-03-16T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
108,2018-03-19T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",3.0
109,2018-03-19T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",0.0
110,2018-03-20T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
111,2018-03-20T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
112,2018-03-21T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
113,2018-03-21T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
114,2018-03-22T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.14
115,2018-03-22T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.2
116,2018-03-23T00:00:00,PRCP,GHCND:US1MASF0001,"T,,N,",0.0
117,2018-03-23T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
118,2018-03-26T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",3.0
119,2018-03-26T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",0.01
120,2018-03-27T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
121,2018-03-27T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
122,2018-03-28T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.01
123,2018-03-28T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
124,2018-03-29T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
125,2018-03-29T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
126,2018-03-30T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.01
127,2018-03-31T00:00:00,PRCP,GHCND:US1MASF0001,"T,,N,",0.0
128,2018-04-01T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
129,2018-04-01T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
130,2018-04-02T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
131,2018-04-02T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
132,2018-04-03T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.09
133,2018-04-04T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.48
134,2018-04-05T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.17
135,2018-04-06T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
136,2018-04-06T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
137,2018-04-09T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",3.0
138,2018-04-09T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",0.12
139,2018-04-10T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
140,2018-04-10T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
141,2018-04-11T00:00:00,PRCP,GHCND:US1MASF0001,",,N,",0.0
142,2018-04-11T00:00:00,SNOW,GHCND:US1MASF0001,",,N,",0.0
143,2018-04-11T00:00:00,SNWD,GHCND:US1MASF0001,",,N,",0.0
144,2018-04-13T00:00:00,DAPR,GHCND:US1MASF0001,",,N,",2.0
145,2018-04-13T00:00:00,MDPR,GHCND:US1MASF0001,",,N,",0.04
