,date,datatype,station,attributes,value
75,2020-09-19T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
76,2020-09-20T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
77,2020-09-20T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
78,2020-09-21T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
79,2020-09-21T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
80,2020-09-22T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
81,2020-09-22T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
82,2020-09-23T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
83,2020-09-23T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
84,2020-09-24T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
85,2020-09-24T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
86,2020-09-25T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
87,2020-09-25T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
88,2020-09-26T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
89,2020-09-26T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
90,2020-09-27T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
91,2020-09-27T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
92,2020-09-28T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
93,2020-09-28T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
94,2020-09-29T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
95,2020-09-29T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
96,2020-09-30T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
97,2020-09-30T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
98,2020-10-01T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
99,2020-10-01T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
100,2020-10-02T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
101,2020-10-02T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
102,2020-10-03T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
103,2020-10-03T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
104,2020-10-04T00:00:00,PRCP,GHCND:US1CASF0017,",,N,",0.0
105,2020-10-04T00:00:00,SNOW,GHCND:US1CASF0017,",,N,",0.0
